Order Date,Quantity,Sales,Profit,Discount,Quantity_Lag_1,Quantity_Lag_2,Quantity_Rolling_Mean_3,Sales_Lag_1,Profit_Lag_1,Month,Year,Sub-Category
2014-04-30,0,0.0,0.0,0.0,0.0,2.0,1.3333333333333333,0.0,0.0,4,2014,Copiers
2014-05-31,3,719.98,135.0,0.2,0.0,0.0,0.6666666666666666,0.0,0.0,5,2014,Copiers
2014-06-30,1,559.99,175.0,0.2,3.0,0.0,1.0,719.98,135.0,6,2014,Copiers
2014-07-31,0,0.0,0.0,0.0,1.0,3.0,1.3333333333333333,559.99,175.0,7,2014,Copiers
2014-08-31,9,3549.94,949.99,0.20000000000000004,0.0,1.0,1.3333333333333333,0.0,0.0,8,2014,Copiers
2014-09-30,7,2879.95,827.99,0.2,9.0,0.0,3.3333333333333335,3549.94,949.99,9,2014,Copiers
2014-10-31,5,1999.96,624.99,0.2,7.0,9.0,5.333333333333333,2879.95,827.99,10,2014,Copiers
2014-11-30,0,0.0,0.0,0.0,5.0,7.0,7.0,1999.96,624.99,11,2014,Copiers
2014-12-31,0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,12,2014,Copiers
2015-01-31,2,959.98,335.99,0.2,0.0,0.0,1.6666666666666667,0.0,0.0,1,2015,Copiers
2015-02-28,0,0.0,0.0,0.0,2.0,0.0,0.6666666666666666,959.98,335.99,2,2015,Copiers
2015-03-31,7,3149.93,1480.47,0.0,0.0,2.0,0.6666666666666666,0.0,0.0,3,2015,Copiers
2015-04-30,6,2039.95,695.98,0.1,7.0,0.0,3.0,3149.93,1480.47,4,2015,Copiers
2015-05-31,0,0.0,0.0,0.0,6.0,7.0,4.333333333333333,2039.95,695.98,5,2015,Copiers
2015-06-30,7,3019.9300000000003,1142.97,0.06666666666666667,0.0,6.0,4.333333333333333,0.0,0.0,6,2015,Copiers
2015-07-31,0,0.0,0.0,0.0,7.0,0.0,4.333333333333333,3019.9300000000003,1142.97,7,2015,Copiers
2015-08-31,5,2799.96,874.99,0.2,0.0,7.0,2.3333333333333335,0.0,0.0,8,2015,Copiers
2015-09-30,0,0.0,0.0,0.0,5.0,0.0,4.0,2799.96,874.99,9,2015,Copiers
2015-10-31,7,2269.94,851.99,0.15000000000000002,0.0,5.0,1.6666666666666667,0.0,0.0,10,2015,Copiers
2015-11-30,2,1039.98,399.0,0.1,7.0,0.0,4.0,2269.94,851.99,11,2015,Copiers
2015-12-31,14,6579.87,2587.96,0.13333333333333333,2.0,7.0,3.0,1039.98,399.0,12,2015,Copiers
2016-01-31,5,1499.95,449.99,0.0,14.0,2.0,7.666666666666667,6579.87,2587.96,1,2016,Copiers
2016-02-29,7,18499.93,8849.97,0.0,5.0,14.0,7.0,1499.95,449.99,2,2016,Copiers
2016-03-31,0,0.0,0.0,0.0,7.0,5.0,8.666666666666666,18499.93,8849.97,3,2016,Copiers
2016-04-30,18,9159.84,3656.95,0.13333333333333333,0.0,7.0,4.0,0.0,0.0,4,2016,Copiers
2016-05-31,6,9239.97,1190.0,0.4,18.0,0.0,8.333333333333334,9159.84,3656.95,5,2016,Copiers
2016-06-30,2,479.98,90.0,0.2,6.0,18.0,8.0,9239.97,1190.0,6,2016,Copiers
2016-07-31,12,5439.92,1511.98,0.26666666666666666,2.0,6.0,8.666666666666666,479.98,90.0,7,2016,Copiers
2016-08-31,0,0.0,0.0,0.0,12.0,2.0,6.666666666666667,5439.92,1511.98,8,2016,Copiers
2016-09-30,3,479.98,161.99,0.2,0.0,12.0,4.666666666666667,0.0,0.0,9,2016,Copiers
2016-10-31,0,0.0,0.0,0.0,3.0,0.0,5.0,479.98,161.99,10,2016,Copiers
2016-11-30,12,2799.9,931.96,0.2,0.0,3.0,1.0,0.0,0.0,11,2016,Copiers
2016-12-31,4,1999.96,899.98,0.0,12.0,0.0,5.0,2799.9,931.96,12,2016,Copiers
2017-01-31,5,2999.95,1379.98,0.0,4.0,12.0,5.333333333333333,1999.96,899.98,1,2017,Copiers
2017-02-28,0,0.0,0.0,0.0,5.0,4.0,7.0,2999.95,1379.98,2,2017,Copiers
2017-03-31,16,7799.85,2717.95,0.16,0.0,5.0,3.0,0.0,0.0,3,2017,Copiers
2017-04-30,0,0.0,0.0,0.0,16.0,0.0,7.0,7799.85,2717.95,4,2017,Copiers
2017-05-31,0,0.0,0.0,0.0,0.0,16.0,5.333333333333333,0.0,0.0,5,2017,Copiers
2017-06-30,0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,0.0,0.0,6,2017,Copiers
2017-07-31,12,3479.91,999.99,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,7,2017,Copiers
2017-08-31,11,4879.91,1592.97,0.20000000000000004,12.0,0.0,4.0,3479.91,999.99,8,2017,Copiers
2017-09-30,4,1879.96,689.99,0.1,11.0,12.0,7.666666666666667,4879.91,1592.97,9,2017,Copiers
