Order Date,Quantity,Sales,Profit,Discount,Quantity_Lag_1,Quantity_Lag_2,Quantity_Rolling_Mean_3,Sales_Lag_1,Profit_Lag_1,Month,Year,Week_of_Year,Sub-Category
2014-01-26,0,0.0,0.0,0.0,11.0,3.0,6.666666666666667,796.69,324.68,1,2014,4,Accessories
2014-02-02,0,0.0,0.0,0.0,0.0,11.0,4.666666666666667,0.0,0.0,2,2014,5,Accessories
2014-02-09,15,888.3199999999999,190.43,0.15000000000000002,0.0,0.0,3.6666666666666665,0.0,0.0,2,2014,6,Accessories
2014-02-16,24,1292.76,409.84,0.10000000000000002,15.0,0.0,5.0,888.3199999999999,190.43,2,2014,7,Accessories
2014-02-23,3,62.31,22.43,0.0,24.0,15.0,13.0,1292.76,409.84,2,2014,8,Accessories
2014-03-02,0,0.0,0.0,0.0,3.0,24.0,14.0,62.31,22.43,3,2014,9,Accessories
2014-03-09,5,222.29,80.02000000000001,0.0,0.0,3.0,9.0,0.0,0.0,3,2014,10,Accessories
2014-03-16,18,315.26,21.95,0.06666666666666667,5.0,0.0,2.6666666666666665,222.29,80.02000000000001,3,2014,11,Accessories
2014-03-23,2,170.24,53.2,0.2,18.0,5.0,7.666666666666667,315.26,21.95,3,2014,12,Accessories
2014-03-30,7,111.78,24.54,0.0,2.0,18.0,8.333333333333334,170.24,53.2,3,2014,13,Accessories
2014-04-06,4,179.96,56.99,0.1,7.0,2.0,9.0,111.78,24.54,4,2014,14,Accessories
2014-04-13,13,615.42,234.32,0.0,4.0,7.0,4.333333333333333,179.96,56.99,4,2014,15,Accessories
2014-04-20,3,227.98,28.5,0.2,13.0,4.0,8.0,615.42,234.32,4,2014,16,Accessories
2014-04-27,0,0.0,0.0,0.0,3.0,13.0,6.666666666666667,227.98,28.5,4,2014,17,Accessories
2014-05-04,8,687.74,251.43,0.0,0.0,3.0,5.333333333333333,0.0,0.0,5,2014,18,Accessories
2014-05-11,16,754.08,226.41,0.06666666666666667,8.0,0.0,3.6666666666666665,687.74,251.43,5,2014,19,Accessories
2014-05-18,13,615.11,132.51,0.06666666666666667,16.0,8.0,8.0,754.08,226.41,5,2014,20,Accessories
2014-05-25,2,20.78,-3.64,0.2,13.0,16.0,12.333333333333334,615.11,132.51,5,2014,21,Accessories
2014-06-01,5,127.59,40.21,0.0,2.0,13.0,10.333333333333334,20.78,-3.64,6,2014,22,Accessories
2014-06-08,12,713.54,262.56,0.04,5.0,2.0,6.666666666666667,127.59,40.21,6,2014,23,Accessories
2014-06-15,3,9.09,1.91,0.0,12.0,5.0,6.333333333333333,713.54,262.56,6,2014,24,Accessories
2014-06-22,10,292.72,85.36,0.2,3.0,12.0,6.666666666666667,9.09,1.91,6,2014,25,Accessories
2014-06-29,7,310.34000000000003,54.83,0.1,10.0,3.0,8.333333333333334,292.72,85.36,6,2014,26,Accessories
