Sub-Category,Rank,Model Name,MAE,RMSE,R2,MAPE
Accessories,Top 1,gbr,6.8138,8.5454,0.2256,0.8482
Accessories,Top 2,lightgbm,6.9412,8.7432,0.1932,0.8091
Accessories,Top 3,et,7.0717,9.0273,0.149,0.8612
Appliances,Top 1,rf,4.9287,6.4709,-0.085,0.8081
Appliances,Top 2,lightgbm,5.04,6.5893,-0.1367,0.8685
Appliances,Top 3,ada,5.0459,6.6099,-0.0416,0.7776
Art,Top 1,gbr,7.3084,10.1365,0.0389,0.9686
Art,Top 2,lightgbm,7.3747,9.8798,0.126,0.8484
Art,Top 3,rf,7.7682,10.3045,0.0217,1.018
Binders,Top 1,en,13.2979,16.373,0.0134,0.8556
Binders,Top 2,lar,13.3441,16.2502,-0.0713,0.819
Binders,Top 3,rf,13.3503,16.3921,-0.0262,0.8556
Bookcases,Top 1,et,2.6451,3.6941,0.1862,0.7621
Bookcases,Top 2,lightgbm,2.7187,3.8726,0.1297,0.7682
Bookcases,Top 3,rf,2.7681,3.7811,0.1582,0.8153
Chairs,Top 1,et,5.2772,7.256,0.2575,0.9446
Chairs,Top 2,gbr,5.526,7.6581,0.173,0.926
Chairs,Top 3,rf,5.5521,7.4994,0.2029,1.0587
Envelopes,Top 1,gbr,3.2507,4.2293,0.0402,0.6048
Envelopes,Top 2,et,3.2866,4.3785,0.024,0.6427
Envelopes,Top 3,rf,3.3085,4.3392,0.0295,0.636
Fasteners,Top 1,rf,3.3177,4.3667,0.0835,0.7845
Fasteners,Top 2,et,3.3786,4.5058,0.0043,0.7426
Fasteners,Top 3,lightgbm,3.4816,4.5349,0.0282,0.798
Furnishings,Top 1,rf,8.1045,10.6893,-0.1352,0.9796
Furnishings,Top 2,et,8.3557,10.8075,-0.1391,1.0365
Furnishings,Top 3,gbr,8.4949,10.8253,-0.1591,0.9934
Labels,Top 1,rf,4.2879,5.2912,0.1171,0.8311
Labels,Top 2,gbr,4.3168,5.3771,0.0691,0.8234
Labels,Top 3,ada,4.5208,5.3393,0.1176,0.9499
Paper,Top 1,rf,11.6206,14.3574,-0.0856,0.707
Paper,Top 2,lasso,11.6763,14.7758,-0.1733,0.7718
Paper,Top 3,llar,11.6763,14.7758,-0.1733,0.7718
Phones,Top 1,rf,7.1823,9.2675,0.1529,0.889
Phones,Top 2,et,7.4563,9.7266,0.0558,1.0073
Phones,Top 3,gbr,7.7091,10.2874,-0.0734,0.8664
Storage,Top 1,et,7.5232,10.2159,0.0847,0.9609
Storage,Top 2,rf,7.9222,10.1904,0.0516,1.0931
Storage,Top 3,lightgbm,8.0081,10.2828,-0.0178,1.0506
Supplies,Top 1,lar,2.6248,3.3191,0.1213,0.7686
Supplies,Top 2,lr,2.634,3.3312,0.1166,0.7627
Supplies,Top 3,lightgbm,2.7073,3.4499,0.0625,0.7031
Tables,Top 1,rf,2.8504,3.8786,0.2502,0.7538
Tables,Top 2,et,2.8685,3.8858,0.2133,0.742
Tables,Top 3,lightgbm,2.9575,3.8874,0.2596,0.6756
